Location;Cluster;;
Utrecht Centraal;5;;
Centraal Station;20;;
Muziekgeb. Bimhuis;851;;
Nieuwmarkt;834;;
Amsterdam Amstel;13;;
Hengelo;74;;
Amsterdam Centraal;20;;
Utrecht, Willem Dreeslaan;49;;
Utrecht, Vredenburg;219;;
Utrecht, Heidelberglaan;326;;
Utrecht, Sint Jacobsstraat;219;;
Amstelstation;13;;
Leidseplein;43;;
Rhijnvis Feithstraat;1015;;
Utrecht, CS Jaarbeursplein (Perron G5);46;;
Utrecht Overvecht;16;;
Utrecht, Draaiweg;383;;
Hengelo, Centraal Station;74;;
Enschede, Kennispark/UT;1103;;
Utrecht, Oudenoord;464;;
Utrecht, Botanische Tuinen;329;;
Utrecht, Janskerkhof;299;;
Museumplein;766;;
1e Con. Huygensstraat;771;;
Bilthoven;541;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;